,enhancer / silencer,log(Max enhancer / Max silencer),-log10(pvalue),pvalue,mark,sign
459,0.8326718242867276,-0.18311568288455451,0.5111632642028145,0.0005881734935311651,ZNF280B,False
457,0.9861835372556609,-0.01391279844068954,-0.0,0.43890292361855376,ZNF277,False
487,1.0255400621322515,0.025219363717757248,-0.0,0.8778434403499127,ZNF518B,False
456,0.27694558421309584,-1.2839342389771458,0.22009058863515232,0.001149683039042438,ZNF274,False
488,1.045387167501776,0.04438731201737952,-0.0,0.3633882080688422,ZNF551,False
492,1.2131823009605396,0.19324690800228167,-0.0,0.011346665064716632,ZNF584,False
521,1.266962787927215,0.23662253068449593,-0.0,0.035255178494638655,ZSCAN29,False
519,0.9982434523507261,-0.0017580921880649874,-0.0,0.4233621663840167,ZNF830,False
516,1.0309567828165527,0.030487286422547576,-0.0,0.6650993320542857,ZNF785,False
515,0.9920064851714349,-0.008025634247428935,-0.0,0.3983427762196555,ZNF780A,False
514,0.978018469084939,-0.02222672458070314,-0.0,0.4496115769862499,ZNF778,False
513,1.0030920799899714,0.0030873093422589437,-0.0,0.6096651247567945,ZNF77,False
512,1.2077854003300394,0.18878843499780684,-0.0,0.13759876851566696,ZNF766,False
511,1.1349160917061731,0.12655872018837355,-0.0,0.005575273148063223,ZNF764,False
509,0.26615761913651464,-1.3236665925459392,-0.0,0.12219738250856074,ZNF75A,False
508,1.226120029077661,0.2038547357215573,1.2433773256691205,0.00010896609497767236,ZNF740,False
507,1.0256699129223785,0.025345972686979974,-0.0,0.3772329619495556,ZNF717,False
506,1.1346860605621822,0.12635601404928337,0.15431437473669407,0.001337686481858395,ZNF707,False
505,1.2190506276930149,0.19807238178847447,0.8513955451263341,0.0002687034037982494,ZNF700,False
504,1.2647354056831797,0.2348629348334941,1.0534134232555874,0.00016875447172203566,ZNF7,False
503,0.9393583732723134,-0.06255821840818673,-0.0,0.009545540861879444,ZNF699,False
502,1.1078650610400076,0.102434794843592,0.002678945439848364,0.0018966612334000905,ZNF696,False
500,1.129442755405464,0.12172437428297986,0.4601918209161173,0.0006614193438096968,ZNF668,False
499,0.9937210421724404,-0.006298753390433291,-0.0,0.7141937128539683,ZNF655,False
498,1.2440382208111205,0.21836271796970635,1.2131344504825916,0.00011682458919472253,ZNF644,False
497,1.2673047749072652,0.23689242087852394,-0.0,0.006587130448020588,ZNF639,False
496,1.1220155798511764,0.11512669278946015,-0.0,0.006352739508517612,ZNF609,False
490,1.1698578880886064,0.15688227826028495,1.209351944336073,0.0001178465217144128,ZNF57,False
455,1.2476582664145603,0.22126840746199553,-0.0,0.07192288267939799,ZNF263,False
453,1.0711591123742261,0.06874134473936212,-0.0,0.3135060416935296,ZNF253,False
450,1.0132733568024688,0.01318603763239461,-0.0,0.5435490361812627,ZNF232,False
401,1.7446471764448073,0.5565523440618968,0.06989748619303907,0.0016246926914036976,ZBTB11,False
400,1.0566647317242712,0.05511746804363439,-0.0,0.4322250897265907,ZBTB1,False
399,1.1612009614675511,0.14945478116278585,-0.0,0.13138213663588225,ZBED1,False
397,0.9941775481714993,-0.005839468385352,-0.0,0.7200242811970436,YBX3,False
396,0.9744436855057785,-0.025888549794847563,-0.0,0.12846588981384807,YBX1,False
395,1.1915694691222936,0.17527131977840643,1.0216959046868963,0.00018154019948345748,XRCC5,False
390,1.307870200594411,0.26840001309132316,-0.0,0.026161434655507822,USF2,False
389,1.4119656249971178,0.34498279387181724,-0.0,0.1658781535399112,USF1,False
387,0.8622806011319423,-0.14817453793475455,-0.0,0.005654229841562914,U2AF2,False
386,1.000519268987337,0.0005191342138501784,-0.0,0.7589482455286504,U2AF1,False
384,0.9888847638694601,-0.01117747197478709,-0.0,0.4827577857022367,TSC22D4,False
383,0.9743591336828312,-0.025975322886684086,-0.0,0.2954650628596893,TRIP13,False
382,0.6477955747589,-0.4341801034524025,-0.0,0.7615390487202855,TRIM28,False
380,1.5523485355813216,0.439768968443715,-0.0,0.031176895815378202,TRIM24,False
379,1.1607231805778604,0.1490432423982049,1.1145949698481545,0.00014657967119900488,TOE1,False
377,1.0131409635037336,0.013055370080752433,-0.0,0.35439423130969994,THRAP3,False
376,0.9217366045970242,-0.08149577455061881,-0.0,0.025785803890977455,THRA,False
375,1.0485501768889827,0.0474084260936396,-0.0,0.2890323669189716,THAP7,False
374,1.2076940712878312,0.18871281519368527,0.6306192649222521,0.00044673445374525785,THAP12,False
373,0.9438724905636279,-0.05776419551536956,-0.0,0.887676288471285,THAP1,False
372,0.9021502839338259,-0.1029741608977058,0.6946500992329343,0.00038549487955287097,TGIF2,False
406,1.0605703292123403,0.05880680985563269,-0.0,0.025586480408362377,ZBTB33,False
407,1.0320247150072404,0.03152261542303334,-0.0,0.11734286904699184,ZBTB34,False
409,1.109227797759317,0.10366409553391955,-0.0,0.01217288556308231,ZBTB43,False
410,1.0120780293354874,0.01200567197935652,-0.0,0.8759619190105881,ZBTB49,False
448,0.9900101877911218,-0.010040045208347462,-0.0,0.670208021693195,ZNF224,False
447,0.925021471121157,-0.07793832971623431,-0.0,0.014550449398073637,ZNF217,False
444,1.122558314970254,0.11561029026059454,-0.0,0.25982009415579166,ZNF197,False
443,0.9628870996920857,-0.03781911217522789,-0.0,0.005439957258320977,ZNF184,False
441,1.133419227505028,0.12523892905719156,0.5011693118090172,0.0006018654330642485,ZNF174,False
439,1.2786665695743193,0.24581779242058652,0.22652537800792116,0.0011327741635257915,ZNF148,False
438,0.8925779414353978,-0.11364143980194638,-0.0,0.06610390312018286,ZNF146,False
437,0.9838038190085677,-0.016328772733161034,-0.0,0.9381226514844241,ZNF143,False
436,1.0518032167893987,0.0505060405344679,-0.0,0.36706706779443965,ZNF140,False
434,1.0829301639814974,0.07967048208141374,-0.0,0.01836655622838437,ZNF133,False
203,1.1772493325651552,0.1631806431973485,-0.0,0.08379571551254442,MGA,False
432,0.916305941191727,-0.08740497313836654,-0.0,0.2344055944508313,ZNF121,False
430,1.0794865820978958,0.07648554115753707,-0.0,0.052329683889623946,ZMYM3,False
427,1.0526172096374569,0.05127964344996093,-0.0,0.0722430596754485,ZKSCAN3,False
425,1.0560159357305214,0.05450327582410983,-0.0,0.10118772862341736,ZHX1,False
422,1.1067064458056182,0.10138843861935792,0.9610380834755884,0.00020875199254951233,ZFP91,False
421,1.420284368330045,0.3508571109512905,0.8684611346773304,0.0002583494720254539,ZFP36,False
420,1.0076161225739926,0.007587266334950042,-0.0,0.6212382494280322,ZFP30,False
417,1.0808532613158042,0.07775078597945252,-0.0,0.03417845508083221,ZC3H8,False
415,1.2476989492560704,0.2213010142897941,1.0911474861945676,0.00015471101195255733,ZC3H11A,False
413,0.9108995801714326,-0.09332261812572372,-0.0,0.004607119267190885,ZBTB8A,False
411,0.9838998788198184,-0.016231136273532443,-0.0,0.1759207764583982,ZBTB5,False
431,1.0578467599348456,0.056235483564818195,-0.0,0.09731881775608822,ZNF12,False
200,1.2192844507429974,0.19826417089307058,-0.0,0.12977309817551141,MEF2A,False
523,1.1127232272337149,0.10681036862322527,-0.0,0.007904610661970159,ZZZ3,False
71,1.1616688413864427,0.14985762761129895,-0.0,0.026002922160926638,DEAF1,False
143,1.047071882794404,0.04599758549577876,-0.0,0.45483330658176124,HINFP,False
45,1.7761691499995333,0.5744588821515902,0.3987905531382908,0.0007618652408434481,CEBPG,False
106,1.443334574919858,0.36695611356752944,-0.0,0.023360738399787303,FOS,False
105,1.0282597064204528,0.02786776783142587,-0.0,0.7239503164394293,FIP1L1,False
43,1.120661066203242,0.11391874886672096,-0.0,0.0433462953876824,CDC5L,False
148,0.9798142380776189,-0.020392278266978016,-0.0,0.21796234425701955,HMG20B,False
149,1.6531905369010902,0.5027070795289015,0.06692243256900791,0.0016358605547105397,HMGN3,False
69,1.3107749887770423,0.2706185567763195,0.6417017884913849,0.00043547870675799706,DDIT3,False
104,1.1233680427930939,0.11633135384767482,-0.0,0.021879384347837608,EZH2,False
103,0.9222319062815839,-0.08095856180154036,-0.0,0.0030870371682852264,EWSR1,False
151,0.9693177427515842,-0.031162812945043604,-0.0,0.0725860621468251,HNRNPH1,False
152,1.0262302270540284,0.025892114416453685,-0.0,0.21265437801438536,HNRNPK,False
46,0.9768824302478988,-0.023388971695438944,-0.0,0.4375140036140628,CEBPZ,False
153,1.165960978757361,0.15354562146552697,-0.0,0.01482758616776746,HNRNPL,False
155,1.0585910408385508,0.05693881718900022,-0.0,0.08853436905305206,HNRNPUL1,False
156,1.1509447644892703,0.1405831394390291,0.6109499497747249,0.00046743234735947787,HOMEZ,False
157,1.1461216581686053,0.13638377161847276,0.7786452920790834,0.0003177045399960868,HOXB6,False
41,1.087966353428197,0.08431022279765109,-0.0,0.21286575797548069,CCAR2,False
40,1.4342048804986578,0.3606106054020185,-0.0,0.002736736803284432,CC2D1A,False
39,0.9117523964877599,-0.09238682084847732,-0.0,0.07298131122697245,CBX8,False
37,0.738963911081655,-0.3025061940279424,0.3521026196118589,0.0008483324766904131,CBX3,False
